Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.9156e-05,-0.0112
-1.9152e-05,-0.056
-1.9148e-05,0.076
-1.9144e-05,-0.02
-1.9140e-05,-0.0488
-1.9136e-05,0.0752
-1.9132e-05,-0.0304
-1.9128e-05,-0.0368
-1.9124e-05,0.0776
-1.9120e-05,-0.0408
-1.9116e-05,-0.032
-1.9112e-05,0.0784
-1.9108e-05,-0.0512
-1.9104e-05,-0.02
-1.9100e-05,0.0744
-1.9096e-05,-0.0568
-1.9092e-05,-0.008
-1.9088e-05,0.068
-1.9084e-05,-0.0656
-1.9080e-05,0.0072
-1.9076e-05,0.0616
-1.9072e-05,-0.0688
-1.9068e-05,0.016
-1.9064e-05,0.0552
-1.9060e-05,-0.072
-1.9056e-05,0.0264
-1.9052e-05,0.044
-1.9048e-05,-0.072
-1.9044e-05,0.0384
-1.9040e-05,0.04
-1.9036e-05,-0.0752
-1.9032e-05,0.0456
-1.9028e-05,0.0256
-1.9024e-05,-0.072
-1.9020e-05,0.0552
-1.9016e-05,0.0184
-1.9012e-05,-0.0672
-1.9008e-05,0.0624
-1.9004e-05,0.008
-1.9000e-05,-0.0648
-1.8996e-05,0.0728
-1.8992e-05,-0.0072
-1.8988e-05,-0.0576
-1.8984e-05,0.0744
-1.8980e-05,-0.0224
-1.8976e-05,-0.048
-1.8972e-05,0.0768
-1.8968e-05,-0.032
-1.8964e-05,-0.0424
-1.8960e-05,0.0768
-1.8956e-05,-0.04
-1.8952e-05,-0.0312
-1.8948e-05,0.076
-1.8944e-05,-0.0488
-1.8940e-05,-0.0208
-1.8936e-05,0.0744
-1.8932e-05,-0.0584
-1.8928e-05,-0.008
-1.8924e-05,0.0696
-1.8920e-05,-0.0632
-1.8916e-05,0.004
-1.8912e-05,0.0672
-1.8908e-05,-0.0696
-1.8904e-05,0.0152
-1.8900e-05,0.0536
-1.8896e-05,-0.076
-1.8892e-05,0.028
-1.8888e-05,0.0464
-1.8884e-05,-0.0752
-1.8880e-05,0.0344
-1.8876e-05,0.0368
