Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-2.0000e-05,-0.016
-1.9996e-05,-0.056
-1.9992e-05,0.09
-1.9988e-05,-0.028
-1.9984e-05,-0.042
-1.9980e-05,0.088
-1.9976e-05,-0.044
-1.9972e-05,-0.032
-1.9968e-05,0.082
-1.9964e-05,-0.052
-1.9960e-05,-0.02
-1.9956e-05,0.082
-1.9952e-05,-0.068
-1.9948e-05,-0.006
-1.9944e-05,0.082
-1.9940e-05,-0.074
-1.9936e-05,0
-1.9932e-05,0.068
-1.9928e-05,-0.08
-1.9924e-05,0.014
-1.9920e-05,0.06
-1.9916e-05,-0.088
-1.9912e-05,0.026
-1.9908e-05,0.05
-1.9904e-05,-0.086
-1.9900e-05,0.042
-1.9896e-05,0.038
-1.9892e-05,-0.08
-1.9888e-05,0.052
-1.9884e-05,0.03
-1.9880e-05,-0.082
-1.9876e-05,0.06
-1.9872e-05,0.018
-1.9868e-05,-0.078
-1.9864e-05,0.08
-1.9860e-05,0.008
-1.9856e-05,-0.072
-1.9852e-05,0.076
-1.9848e-05,-0.002
-1.9844e-05,-0.066
-1.9840e-05,0.082
-1.9836e-05,-0.02
-1.9832e-05,-0.054
-1.9828e-05,0.094
-1.9824e-05,-0.026
-1.9820e-05,-0.044
-1.9816e-05,0.088
-1.9812e-05,-0.04
-1.9808e-05,-0.036
-1.9804e-05,0.088
-1.9800e-05,-0.054
-1.9796e-05,-0.022
-1.9792e-05,0.082
-1.9788e-05,-0.062
-1.9784e-05,-0.01
-1.9780e-05,0.078
-1.9776e-05,-0.07
-1.9772e-05,0
-1.9768e-05,0.076
-1.9764e-05,-0.078
-1.9760e-05,0.014
-1.9756e-05,0.062
-1.9752e-05,-0.084
-1.9748e-05,0.022
-1.9744e-05,0.054
-1.9740e-05,-0.086
-1.9736e-05,0.036
-1.9732e-05,0.04
-1.9728e-05,-0.084
-1.9724e-05,0.05
-1.9720e-05,0.034
-1.9716e-05,-0.082
-1.9712e-05,0.058
-1.9708e-05,0.022
-1.9704e-05,-0.078
-1.9700e-05,0.07
-1.9696e-05,0.008
-1.9692e-05,-0.076
-1.9688e-05,0.078
-1.9684e-05,-0.004
-1.9680e-05,-0.064
-1.9676e-05,0.086
-1.9672e-05,-0.014
-1.9668e-05,-0.06
-1.9664e-05,0.092
-1.9660e-05,-0.028
-1.9656e-05,-0.052
-1.9652e-05,0.092
-1.9648e-05,-0.036
-1.9644e-05,-0.04
-1.9640e-05,0.092
-1.9636e-05,-0.054
-1.9632e-05,-0.026
-1.9628e-05,0.088
-1.9624e-05,-0.064
-1.9620e-05,-0.014
-1.9616e-05,0.078
-1.9612e-05,-0.068
-1.9608e-05,-0.004
-1.9604e-05,0.072
-1.9600e-05,-0.08
-1.9596e-05,0.012
-1.9592e-05,0.06
-1.9588e-05,-0.082
-1.9584e-05,0.024
-1.9580e-05,0.054
-1.9576e-05,-0.088
-1.9572e-05,0.038
-1.9568e-05,0.044
-1.9564e-05,-0.088
-1.9560e-05,0.046
-1.9556e-05,0.032
-1.9552e-05,-0.088
-1.9548e-05,0.058
-1.9544e-05,0.026
-1.9540e-05,-0.078
-1.9536e-05,0.068
-1.9532e-05,0.01
-1.9528e-05,-0.074
-1.9524e-05,0.08
-1.9520e-05,0.002
-1.9516e-05,-0.068
-1.9512e-05,0.082
-1.9508e-05,-0.012
-1.9504e-05,-0.064
-1.9500e-05,0.09
-1.9496e-05,-0.028
-1.9492e-05,-0.048
-1.9488e-05,0.088
-1.9484e-05,-0.034
-1.9480e-05,-0.042
-1.9476e-05,0.086
-1.9472e-05,-0.05
-1.9468e-05,-0.03
-1.9464e-05,0.09
-1.9460e-05,-0.06
-1.9456e-05,-0.014
-1.9452e-05,0.082
