Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,-2e-10
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-1.0000e-05,-0.038
-9.9982e-06,-0.04
-9.9962e-06,0.002
-9.9942e-06,0.044
-9.9922e-06,0.044
-9.9902e-06,0.002
-9.9882e-06,-0.042
-9.9862e-06,-0.042
-9.9842e-06,0.002
-9.9822e-06,0.048
-9.9802e-06,0.036
-9.9782e-06,-0.004
-9.9762e-06,-0.04
-9.9742e-06,-0.036
-9.9722e-06,0.01
-9.9702e-06,0.048
-9.9682e-06,0.038
-9.9662e-06,-0.01
-9.9642e-06,-0.048
-9.9622e-06,-0.026
-9.9602e-06,0.02
-9.9582e-06,0.044
-9.9562e-06,0.028
-9.9542e-06,-0.02
-9.9522e-06,-0.044
-9.9502e-06,-0.022
-9.9482e-06,0.026
-9.9462e-06,0.046
-9.9442e-06,0.018
-9.9422e-06,-0.026
-9.9402e-06,-0.042
-9.9382e-06,-0.01
-9.9362e-06,0.034
-9.9342e-06,0.048
-9.9322e-06,0.012
-9.9302e-06,-0.034
-9.9282e-06,-0.038
-9.9262e-06,-0.004
-9.9242e-06,0.036
-9.9222e-06,0.042
-9.9202e-06,0.006
-9.9182e-06,-0.038
-9.9162e-06,-0.038
-9.9142e-06,-0.002
-9.9122e-06,0.04
-9.9102e-06,0.04
-9.9082e-06,0
-9.9062e-06,-0.038
-9.9042e-06,-0.036
-9.9022e-06,0.004
-9.9002e-06,0.046
-9.8982e-06,0.036
-9.8962e-06,-0.01
-9.8942e-06,-0.04
-9.8922e-06,-0.034
-9.8902e-06,0.014
-9.8882e-06,0.048
-9.8862e-06,0.03
-9.8842e-06,-0.012
-9.8822e-06,-0.046
-9.8802e-06,-0.024
-9.8782e-06,0.022
-9.8762e-06,0.05
-9.8742e-06,0.03
-9.8722e-06,-0.016
-9.8702e-06,-0.038
-9.8682e-06,-0.02
-9.8662e-06,0.03
-9.8642e-06,0.048
-9.8622e-06,0.022
-9.8602e-06,-0.024
-9.8582e-06,-0.044
-9.8562e-06,-0.014
-9.8542e-06,0.034
-9.8522e-06,0.052
-9.8502e-06,0.014
-9.8482e-06,-0.038
-9.8462e-06,-0.046
-9.8442e-06,-0.002
-9.8422e-06,0.036
-9.8402e-06,0.042
-9.8382e-06,0
-9.8362e-06,-0.036
-9.8342e-06,-0.042
-9.8322e-06,0.002
-9.8302e-06,0.04
-9.8282e-06,0.04
-9.8262e-06,-0.008
-9.8242e-06,-0.042
-9.8222e-06,-0.036
-9.8202e-06,0.012
-9.8182e-06,0.046
-9.8162e-06,0.038
-9.8142e-06,-0.01
-9.8122e-06,-0.04
-9.8102e-06,-0.03
-9.8082e-06,0.016
-9.8062e-06,0.056
-9.8042e-06,0.034
-9.8022e-06,-0.02
-9.8002e-06,-0.048
-9.7982e-06,-0.02
-9.7962e-06,0.028
-9.7942e-06,0.046
-9.7922e-06,0.03
-9.7902e-06,-0.022
-9.7882e-06,-0.044
-9.7862e-06,-0.014
-9.7842e-06,0.032
-9.7822e-06,0.048
-9.7802e-06,0.018
-9.7782e-06,-0.03
-9.7762e-06,-0.038
-9.7742e-06,-0.006
-9.7722e-06,0.032
-9.7702e-06,0.042
-9.7682e-06,0.006
-9.7662e-06,-0.036
-9.7642e-06,-0.04
-9.7622e-06,-0.002
-9.7602e-06,0.038
-9.7582e-06,0.04
-9.7562e-06,0
-9.7542e-06,-0.042
-9.7522e-06,-0.044
-9.7502e-06,0.004
-9.7482e-06,0.044
-9.7462e-06,0.04
-9.7442e-06,-0.004
-9.7422e-06,-0.046
-9.7402e-06,-0.036
-9.7382e-06,0.01
-9.7362e-06,0.042
-9.7342e-06,0.034
-9.7322e-06,-0.008
-9.7302e-06,-0.042
-9.7282e-06,-0.028
-9.7262e-06,0.014
