Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-07
Horizontal Delay,0
Sample Interval,8e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-3.8208e-06,0.098
-3.8200e-06,-0.066
-3.8192e-06,0.002
-3.8184e-06,0.062
-3.8176e-06,-0.098
-3.8168e-06,0.096
-3.8160e-06,-0.044
-3.8152e-06,-0.02
-3.8144e-06,0.08
-3.8136e-06,-0.104
-3.8128e-06,0.082
-3.8120e-06,-0.02
-3.8112e-06,-0.042
-3.8104e-06,0.094
-3.8096e-06,-0.104
-3.8088e-06,0.06
-3.8080e-06,0.002
-3.8072e-06,-0.062
-3.8064e-06,0.106
-3.8056e-06,-0.088
-3.8048e-06,0.044
-3.8040e-06,0.026
-3.8032e-06,-0.08
-3.8024e-06,0.108
-3.8016e-06,-0.072
-3.8008e-06,0.02
-3.8000e-06,0.05
-3.7992e-06,-0.094
-3.7984e-06,0.1
-3.7976e-06,-0.058
-3.7968e-06,-0.006
-3.7960e-06,0.076
-3.7952e-06,-0.1
-3.7944e-06,0.086
-3.7936e-06,-0.032
-3.7928e-06,-0.03
-3.7920e-06,0.086
-3.7912e-06,-0.102
-3.7904e-06,0.08
-3.7896e-06,-0.014
-3.7888e-06,-0.052
-3.7880e-06,0.094
-3.7872e-06,-0.096
-3.7864e-06,0.06
-3.7856e-06,0.012
-3.7848e-06,-0.074
-3.7840e-06,0.102
-3.7832e-06,-0.084
-3.7824e-06,0.036
-3.7816e-06,0.032
-3.7808e-06,-0.09
-3.7800e-06,0.104
-3.7792e-06,-0.074
-3.7784e-06,0.012
-3.7776e-06,0.06
-3.7768e-06,-0.098
-3.7760e-06,0.092
-3.7752e-06,-0.05
-3.7744e-06,-0.012
-3.7736e-06,0.08
-3.7728e-06,-0.098
-3.7720e-06,0.084
-3.7712e-06,-0.024
-3.7704e-06,-0.038
-3.7696e-06,0.092
-3.7688e-06,-0.104
-3.7680e-06,0.068
-3.7672e-06,-0.004
-3.7664e-06,-0.058
-3.7656e-06,0.1
-3.7648e-06,-0.092
-3.7640e-06,0.046
-3.7632e-06,0.02
-3.7624e-06,-0.078
-3.7616e-06,0.104
-3.7608e-06,-0.078
-3.7600e-06,0.026
-3.7592e-06,0.042
-3.7584e-06,-0.09
-3.7576e-06,0.106
-3.7568e-06,-0.062
-3.7560e-06,0.004
-3.7552e-06,0.06
-3.7544e-06,-0.104
-3.7536e-06,0.09
-3.7528e-06,-0.044
-3.7520e-06,-0.022
-3.7512e-06,0.084
-3.7504e-06,-0.102
-3.7496e-06,0.082
-3.7488e-06,-0.024
-3.7480e-06,-0.048
-3.7472e-06,0.098
-3.7464e-06,-0.098
-3.7456e-06,0.066
-3.7448e-06,0.01
-3.7440e-06,-0.068
-3.7432e-06,0.104
-3.7424e-06,-0.092
-3.7416e-06,0.042
-3.7408e-06,0.032
-3.7400e-06,-0.084
-3.7392e-06,0.1
-3.7384e-06,-0.076
-3.7376e-06,0.012
-3.7368e-06,0.05
-3.7360e-06,-0.098
-3.7352e-06,0.102
-3.7344e-06,-0.056
-3.7336e-06,-0.004
-3.7328e-06,0.074
-3.7320e-06,-0.1
-3.7312e-06,0.086
-3.7304e-06,-0.03
-3.7296e-06,-0.032
-3.7288e-06,0.092
-3.7280e-06,-0.106
-3.7272e-06,0.076
-3.7264e-06,-0.01
-3.7256e-06,-0.054
-3.7248e-06,0.1
-3.7240e-06,-0.094
-3.7232e-06,0.056
-3.7224e-06,0.014
-3.7216e-06,-0.072
-3.7208e-06,0.104
-3.7200e-06,-0.084
-3.7192e-06,0.034
-3.7184e-06,0.036
-3.7176e-06,-0.09
-3.7168e-06,0.106
-3.7160e-06,-0.068
-3.7152e-06,0.01
-3.7144e-06,0.062
-3.7136e-06,-0.094
-3.7128e-06,0.096
-3.7120e-06,-0.052
