Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,1.63196e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.1
Label,
TIME,CH1
-1.82788e-05,0.031
-1.82784e-05,-0.075
-1.82780e-05,-0.075
-1.82776e-05,0.027
-1.82772e-05,0.091
-1.82768e-05,0.033
-1.82764e-05,-0.069
-1.82760e-05,-0.075
-1.82756e-05,0.029
-1.82752e-05,0.095
-1.82748e-05,0.035
-1.82744e-05,-0.065
-1.82740e-05,-0.075
-1.82736e-05,0.021
-1.82732e-05,0.091
-1.82728e-05,0.039
-1.82724e-05,-0.069
-1.82720e-05,-0.077
-1.82716e-05,0.019
-1.82712e-05,0.093
-1.82708e-05,0.041
-1.82704e-05,-0.063
-1.82700e-05,-0.081
-1.82696e-05,0.021
-1.82692e-05,0.097
-1.82688e-05,0.039
-1.82684e-05,-0.067
-1.82680e-05,-0.085
-1.82676e-05,0.017
-1.82672e-05,0.093
-1.82668e-05,0.041
-1.82664e-05,-0.061
-1.82660e-05,-0.081
-1.82656e-05,0.017
-1.82652e-05,0.095
-1.82648e-05,0.045
-1.82644e-05,-0.063
-1.82640e-05,-0.083
-1.82636e-05,0.015
-1.82632e-05,0.091
-1.82628e-05,0.047
-1.82624e-05,-0.067
-1.82620e-05,-0.087
-1.82616e-05,0.009
-1.82612e-05,0.089
-1.82608e-05,0.049
-1.82604e-05,-0.059
-1.82600e-05,-0.085
-1.82596e-05,0.011
-1.82592e-05,0.095
-1.82588e-05,0.049
-1.82584e-05,-0.059
-1.82580e-05,-0.085
-1.82576e-05,0.009
-1.82572e-05,0.093
-1.82568e-05,0.051
-1.82564e-05,-0.055
-1.82560e-05,-0.083
-1.82556e-05,0.007
-1.82552e-05,0.091
-1.82548e-05,0.053
-1.82544e-05,-0.057
-1.82540e-05,-0.091
-1.82536e-05,-0.001
-1.82532e-05,0.087
-1.82528e-05,0.053
-1.82524e-05,-0.053
-1.82520e-05,-0.085
-1.82516e-05,0.001
-1.82512e-05,0.091
-1.82508e-05,0.055
-1.82504e-05,-0.055
-1.82500e-05,-0.085
-1.82496e-05,0.003
-1.82492e-05,0.087
-1.82488e-05,0.057
-1.82484e-05,-0.047
-1.82480e-05,-0.089
-1.82476e-05,-0.001
-1.82472e-05,0.087
-1.82468e-05,0.059
-1.82464e-05,-0.049
-1.82460e-05,-0.091
-1.82456e-05,-0.003
-1.82452e-05,0.087
-1.82448e-05,0.059
-1.82444e-05,-0.051
-1.82440e-05,-0.093
-1.82436e-05,-0.009
-1.82432e-05,0.085
-1.82428e-05,0.061
-1.82424e-05,-0.045
-1.82420e-05,-0.089
-1.82416e-05,-0.007
-1.82412e-05,0.083
-1.82408e-05,0.065
-1.82404e-05,-0.047
-1.82400e-05,-0.091
-1.82396e-05,-0.011
-1.82392e-05,0.087
-1.82388e-05,0.065
-1.82384e-05,-0.041
-1.82380e-05,-0.089
-1.82376e-05,-0.011
-1.82372e-05,0.083
-1.82368e-05,0.067
-1.82364e-05,-0.041
-1.82360e-05,-0.089
-1.82356e-05,-0.009
-1.82352e-05,0.083
-1.82348e-05,0.069
-1.82344e-05,-0.041
-1.82340e-05,-0.091
-1.82336e-05,-0.017
-1.82332e-05,0.081
-1.82328e-05,0.071
-1.82324e-05,-0.033
-1.82320e-05,-0.089
-1.82316e-05,-0.021
-1.82312e-05,0.083
-1.82308e-05,0.075
-1.82304e-05,-0.033
-1.82300e-05,-0.091
-1.82296e-05,-0.017
-1.82292e-05,0.081
-1.82288e-05,0.075
-1.82284e-05,-0.031
-1.82280e-05,-0.091
-1.82276e-05,-0.021
-1.82272e-05,0.081
-1.82268e-05,0.073
-1.82264e-05,-0.031
-1.82260e-05,-0.095
-1.82256e-05,-0.027
-1.82252e-05,0.077
-1.82248e-05,0.075
-1.82244e-05,-0.027
-1.82240e-05,-0.087
-1.82236e-05,-0.023
-1.82232e-05,0.077
-1.82228e-05,0.075
-1.82224e-05,-0.029
-1.82220e-05,-0.091
-1.82216e-05,-0.027
-1.82212e-05,0.077
-1.82208e-05,0.079
-1.82204e-05,-0.023
-1.82200e-05,-0.091
-1.82196e-05,-0.027
-1.82192e-05,0.075
-1.82188e-05,0.077
-1.82184e-05,-0.021
-1.82180e-05,-0.089
-1.82176e-05,-0.027
-1.82172e-05,0.073
-1.82168e-05,0.081
-1.82164e-05,-0.015
-1.82160e-05,-0.091
-1.82156e-05,-0.037
-1.82152e-05,0.077
-1.82148e-05,0.083
-1.82144e-05,-0.017
-1.82140e-05,-0.087
-1.82136e-05,-0.033
-1.82132e-05,0.073
-1.82128e-05,0.081
-1.82124e-05,-0.015
-1.82120e-05,-0.089
-1.82116e-05,-0.037
-1.82112e-05,0.067
-1.82108e-05,0.085
-1.82104e-05,-0.015
-1.82100e-05,-0.087
-1.82096e-05,-0.035
-1.82092e-05,0.067
-1.82088e-05,0.081
-1.82084e-05,-0.013
-1.82080e-05,-0.087
-1.82076e-05,-0.037
-1.82072e-05,0.067
-1.82068e-05,0.085
-1.82064e-05,-0.007
-1.82060e-05,-0.087
-1.82056e-05,-0.041
-1.82052e-05,0.067
-1.82048e-05,0.085
-1.82044e-05,-0.015
-1.82040e-05,-0.089
-1.82036e-05,-0.043
-1.82032e-05,0.067
-1.82028e-05,0.087
-1.82024e-05,-0.007
-1.82020e-05,-0.089
-1.82016e-05,-0.045
-1.82012e-05,0.063
-1.82008e-05,0.089
-1.82004e-05,-0.001
-1.82000e-05,-0.087
-1.81996e-05,-0.049
-1.81992e-05,0.059
-1.81988e-05,0.087
-1.81984e-05,-0.001
-1.81980e-05,-0.087
-1.81976e-05,-0.043
-1.81972e-05,0.063
-1.81968e-05,0.089
-1.81964e-05,0.001
-1.81960e-05,-0.085
-1.81956e-05,-0.057
-1.81952e-05,0.049
-1.81948e-05,0.087
-1.81944e-05,-0.001
-1.81940e-05,-0.091
-1.81936e-05,-0.057
-1.81932e-05,0.057
-1.81928e-05,0.093
-1.81924e-05,0.005
-1.81920e-05,-0.085
-1.81916e-05,-0.055
-1.81912e-05,0.057
-1.81908e-05,0.091
-1.81904e-05,0.001
-1.81900e-05,-0.089
-1.81896e-05,-0.055
